Plant	Name of Plant	Plant Family	Virus Genome	Virus Type	Virus Family	Name of Virus	Virus Strain	Type of Extract	Active Class	Actve Compound	Title of Paper	Name of Author	Reference of Journal	PMID No.
Angiosperm(Phanerogams)	Balanites aegyptiaca	Zygophyllaceae	RNA	Class V	Rhabdoviridae	VSV (Vesicular Stomatitis Virus)		n-Hexane extract			Screening of some Tanzanian medicinal plants from Bunda district for antibacterial, antifungal and antiviral activities	Maregesi SM. et. al.	J Ethnopharmacol. 2008 Sep 2;119(1):58-66	18582554
Angiosperm(Phanerogams)	Kigelia africana (Lam.) Benth	Bignoniaceae	RNA	Class V	Rhabdoviridae	VSV (Vesicular Stomatitis Virus)		Methanol extract			Screening of some Tanzanian medicinal plants from Bunda district for antibacterial, antifungal and antiviral activities	Maregesi SM. et. al.	J Ethnopharmacol. 2008 Sep 2;119(1):58-66	18582554
Angiosperm(Phanerogams)	Combretum adenogonium	Combretaceae	RNA	Class V	Rhabdoviridae	VSV (Vesicular Stomatitis Virus)		Methanol extract			Screening of some Tanzanian medicinal plants from Bunda district for antibacterial, antifungal and antiviral activities	Maregesi SM. et. al.	J Ethnopharmacol. 2008 Sep 2;119(1):58-66	18582554
	Terminalia mollis Laws	Combretaceae	DNA	Class I	Herpesviridae	HSV		Methanol extract			Screening of some Tanzanian medicinal plants from Bunda district for antibacterial, antifungal and antiviral activities	Maregesi SM. et. al.	J Ethnopharmacol. 2008 Sep 2;119(1):58-66	18582554
	Euphorbia tirucalli L.	Euphorbiaceae	DNA	Class I	Herpesviridae	HSV		Methanol extract			Screening of some Tanzanian medicinal plants from Bunda district for antibacterial, antifungal and antiviral activities	Maregesi SM. et. al.	J Ethnopharmacol. 2008 Sep 2;119(1):58-66	18582554
Angiosperm(Phanerogams)	Crotalaria cf. Caudata Welw. ex Baker	Fabaceae	RNA	Class V	Rhabdoviridae	VSV (Vesicular Stomatitis Virus)		n-Hexane extract			Screening of some Tanzanian medicinal plants from Bunda district for antibacterial, antifungal and antiviral activities	Maregesi SM. et. al.	J Ethnopharmacol. 2008 Sep 2;119(1):58-66	18582554
Angiosperms	Hoslundia opposita	Lamiaceae	RNA	Class IV	Togaviridae	SFV (Semliki Forest Virus)		Methanol extract			Screening of some Tanzanian medicinal plants from Bunda district for antibacterial, antifungal and antiviral activities	Maregesi SM. et. al.	J Ethnopharmacol. 2008 Sep 2;119(1):58-66	18582554
	Acacia tortilis (Forsk.) Hyne	Mimosaceae	RNA	Class IV	Picornaviridae	Cox		Methanol extract			Screening of some Tanzanian medicinal plants from Bunda district for antibacterial, antifungal and antiviral activities	Maregesi SM. et. al.	J Ethnopharmacol. 2008 Sep 2;119(1):58-66	18582554
Angiosperm(Phanerogams)	Ficus sycomorus L.	Moraceae	RNA	Class V	Rhabdoviridae	VSV (Vesicular Stomatitis Virus)		n-Hexane extract			Screening of some Tanzanian medicinal plants from Bunda district for antibacterial, antifungal and antiviral activities	Maregesi SM. et. al.	J Ethnopharmacol. 2008 Sep 2;119(1):58-66	18582554
Angiosperm(Phanerogams)	Indigofera colutea	Papilionaceae	RNA	Class V	Rhabdoviridae	VSV (Vesicular Stomatitis Virus)		n-Hexane and Methanolic extract			Screening of some Tanzanian medicinal plants from Bunda district for antibacterial, antifungal and antiviral activities	Maregesi SM. et. al.	J Ethnopharmacol. 2008 Sep 2;119(1):58-66	18582554
Angiosperms	Ormocarpum kirkii S. Moore	Fabaceae	RNA	Class IV	Togaviridae	SFV (Semliki Forest Virus)		n-Hexane extract			Screening of some Tanzanian medicinal plants from Bunda district for antibacterial, antifungal and antiviral activities	Maregesi SM. et. al.	J Ethnopharmacol. 2008 Sep 2;119(1):58-66	18582554
	Rhynchosia sublobata (Schum.)	Papilionaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Screening of some Tanzanian medicinal plants from Bunda district for antibacterial, antifungal and antiviral activities	Maregesi SM. et. al.	J Ethnopharmacol. 2008 Sep 2;119(1):58-66	18582554
	Cyathula uncinulata	Amaranthaceae	RNA	Class IV	Picornaviridae	Cox		Ethanol extract			Screening of seven selected Rwandan medicinal plants for antimicrobial and antiviral activities	Sindambiwe JB. et. al.	J Ethnopharmacol. 1999 Apr;65(1):71-7	10350370
	Berkheya spekeana	Asteraceae	RNA	Class IV	Picornaviridae	Cox		Ethanol extract			Screening of seven selected Rwandan medicinal plants for antimicrobial and antiviral activities	Sindambiwe JB. et. al.	J Ethnopharmacol. 1999 Apr;65(1):71-7	10350370
	Guizotia scabra	Asteraceae	DNA	Class I	Herpesviridae	HSV		Ethanol extract			Screening of seven selected Rwandan medicinal plants for antimicrobial and antiviral activities	Sindambiwe JB. et. al.	J Ethnopharmacol. 1999 Apr;65(1):71-7	10350370
	Guthenbergia cordifolia	Asteraceae	DNA	Class I	Herpesviridae	HSV		Ethanol extract			Screening of seven selected Rwandan medicinal plants for antimicrobial and antiviral activities	Sindambiwe JB. et. al.	J Ethnopharmacol. 1999 Apr;65(1):71-7	10350370
	Microglossa pyrifolia	Asteraceae	DNA	Class I	Herpesviridae	HSV		Ethanol extract			Screening of seven selected Rwandan medicinal plants for antimicrobial and antiviral activities	Sindambiwe JB. et. al.	J Ethnopharmacol. 1999 Apr;65(1):71-7	10350370
	Spilanthes mauritiana	Asteraceae	DNA	Class I	Herpesviridae	HSV		Ethanol extract			Screening of seven selected Rwandan medicinal plants for antimicrobial and antiviral activities	Sindambiwe JB. et. al.	J Ethnopharmacol. 1999 Apr;65(1):71-7	10350370
	Cassia didymobotrya	Caesalpiniaceae	DNA	Class I	Herpesviridae	HSV		Ethanol extract			Screening of seven selected Rwandan medicinal plants for antimicrobial and antiviral activities	Sindambiwe JB. et. al.	J Ethnopharmacol. 1999 Apr;65(1):71-7	10350370
	Macaranga kilimandscharica	Euphorbiaceae	DNA	Class I	Herpesviridae	HSV		Ethanol extract			Screening of seven selected Rwandan medicinal plants for antimicrobial and antiviral activities	Sindambiwe JB. et. al.	J Ethnopharmacol. 1999 Apr;65(1):71-7	10350370
	Eriosema montanum	Fabaceae	DNA	Class I	Herpesviridae	HSV		Ethanol extract			Screening of seven selected Rwandan medicinal plants for antimicrobial and antiviral activities	Sindambiwe JB. et. al.	J Ethnopharmacol. 1999 Apr;65(1):71-7	10350370
	Hypericum reolutum	Hypericaceae	DNA	Class I	Herpesviridae	HSV		Ethanol extract			Screening of seven selected Rwandan medicinal plants for antimicrobial and antiviral activities	Sindambiwe JB. et. al.	J Ethnopharmacol. 1999 Apr;65(1):71-7	10350370
	Hibiscus fuscus	Malaceae	DNA	Class I	Herpesviridae	HSV		Ethanol extract			Screening of seven selected Rwandan medicinal plants for antimicrobial and antiviral activities	Sindambiwe JB. et. al.	J Ethnopharmacol. 1999 Apr;65(1):71-7	10350370
	Entada abyssinica	Mimosaceae	DNA	Class I	Herpesviridae	HSV		Ethanol extract			Screening of seven selected Rwandan medicinal plants for antimicrobial and antiviral activities	Sindambiwe JB. et. al.	J Ethnopharmacol. 1999 Apr;65(1):71-7	10350370
	Sesamum angolense	Pedaliaceae	RNA	Class IV	Picornaviridae	Cox		Ethanol extract			Screening of seven selected Rwandan medicinal plants for antimicrobial and antiviral activities	Sindambiwe JB. et. al.	J Ethnopharmacol. 1999 Apr;65(1):71-7	10350370
	Phytolacca dodecandra	Phytolaccaceae	RNA	Class IV	Picornaviridae	Cox		Ethanol extract			Screening of seven selected Rwandan medicinal plants for antimicrobial and antiviral activities	Sindambiwe JB. et. al.	J Ethnopharmacol. 1999 Apr;65(1):71-7	10350370
	Paetta ternifolia	Rubiaceae	DNA	Class I	Herpesviridae	HSV		Ethanol extract			Screening of seven selected Rwandan medicinal plants for antimicrobial and antiviral activities	Sindambiwe JB. et. al.	J Ethnopharmacol. 1999 Apr;65(1):71-7	10350370
	Pentas longiflora	Rubiaceae	RNA	Class IV	Picornaviridae	Cox		Ethanol extract			Screening of seven selected Rwandan medicinal plants for antimicrobial and antiviral activities	Sindambiwe JB. et. al.	J Ethnopharmacol. 1999 Apr;65(1):71-7	10350370
	Virectaria major	Rubiaceae	DNA	Class I	Herpesviridae	HSV		Ethanol extract			Screening of seven selected Rwandan medicinal plants for antimicrobial and antiviral activities	Sindambiwe JB. et. al.	J Ethnopharmacol. 1999 Apr;65(1):71-7	10350370
	Triumfetta rhomboidea	Tiliaceae	DNA	Class I	Herpesviridae	HSV		Ethanol extract			Screening of seven selected Rwandan medicinal plants for antimicrobial and antiviral activities	Sindambiwe JB. et. al.	J Ethnopharmacol. 1999 Apr;65(1):71-7	10350370
	Crysophyllum albidum	Sapotaceae			Picornaviridae	Poliovirus		Crude methanol extract			Anti-poliovirus activity of medicinal plants selected from the Nigerian ethno-medicine	Ogbole OO. et. al.	African Journal of Biotechnology. 2013 May;12(24):3876-3883	
	Parquetina nigresence	Periplocaceae			Picornaviridae	Poliovirus		Crude methanol extract			Anti-poliovirus activity of medicinal plants selected from the Nigerian ethno-medicine	Ogbole OO. et. al.	African Journal of Biotechnology. 2013 May;12(24):3876-3883	
	Poga oleosa	Rhizophoraceae			Picornaviridae	Poliovirus		Crude methanol extract			Anti-poliovirus activity of medicinal plants selected from the Nigerian ethno-medicine	Ogbole OO. et. al.	African Journal of Biotechnology. 2013 May;12(24):3876-3883	
	Sida acuta	Malvaceae			Picornaviridae	Poliovirus		Crude methanol extract			Anti-poliovirus activity of medicinal plants selected from the Nigerian ethno-medicine	Ogbole OO. et. al.	African Journal of Biotechnology. 2013 May;12(24):3876-3883	
	Tetrapleura teraptera	Mimosaceae			Picornaviridae	Poliovirus		Crude methanol extract			Anti-poliovirus activity of medicinal plants selected from the Nigerian ethno-medicine	Ogbole OO. et. al.	African Journal of Biotechnology. 2013 May;12(24):3876-3883	
	Thoningia sanguinea	Balanophoraceae			Picornaviridae	Poliovirus		Crude methanol extract			Anti-poliovirus activity of medicinal plants selected from the Nigerian ethno-medicine	Ogbole OO. et. al.	African Journal of Biotechnology. 2013 May;12(24):3876-3883	
	Uvaria chamae	Annonaceae			Picornaviridae	Poliovirus		Crude methanol extract			Anti-poliovirus activity of medicinal plants selected from the Nigerian ethno-medicine	Ogbole OO. et. al.	African Journal of Biotechnology. 2013 May;12(24):3876-3883	
	Zephyranthes candida	Amaryllidaceae			Picornaviridae	Poliovirus		Crude methanol extract			Anti-poliovirus activity of medicinal plants selected from the Nigerian ethno-medicine	Ogbole OO. et. al.	African Journal of Biotechnology. 2013 May;12(24):3876-3883	
	Pterocaulon sphacelatum	Asteraceae			Picornaviridae	Poliovirus					Screening of Australian medicinal plants for antiviral activity	Semple SJ. et. al.	J Ethnopharmacol. 1998 Mar;60(2):163-72	9582007
	Dianella longifolia var. grandis	Liliaceae			Picornaviridae	Poliovirus					Screening of Australian medicinal plants for antiviral activity	Semple SJ. et. al.	J Ethnopharmacol. 1998 Mar;60(2):163-72	9582007
	Euphorbia australis	Euphorbiaceae	DNA		Herpesviridae	CMV					Screening of Australian medicinal plants for antiviral activity	Semple SJ. et. al.	J Ethnopharmacol. 1998 Mar;60(2):163-72	9582007
	Scaevola spinescens	Goodeniaceae	DNA		Herpesviridae	CMV					Screening of Australian medicinal plants for antiviral activity	Semple SJ. et. al.	J Ethnopharmacol. 1998 Mar;60(2):163-72	9582007
Angiosperm(Phanerogams)	Eremophila latrobei subsp. glabra	Myoporaceae	RNA	Class III	Reoviridae	Rotavirus					Screening of Australian medicinal plants for antiviral activity	Semple SJ. et. al.	J Ethnopharmacol. 1998 Mar;60(2):163-72	9582007
Angiosperm(Phanerogams)	Pittosporum phylliraeoides	Pittosporaceae	RNA	Class III	Reoviridae	Rotavirus					Screening of Australian medicinal plants for antiviral activity	Semple SJ. et. al.	J Ethnopharmacol. 1998 Mar;60(2):163-72	9582007
Angiosperm(Phanerogams)	Pittosporum microcarpa	Pittosporaceae	RNA	Class III	Reoviridae	Rotavirus					Screening of Australian medicinal plants for antiviral activity	Semple SJ. et. al.	J Ethnopharmacol. 1998 Mar;60(2):163-72	9582007
	Bambusa vulgaris	Poaceae				MV		Ethanol extract			Antiviral properties of two Nigerian plants	Ojo OO. et. al.	African Journal of Plant Science Vol. 3 (7), pp. 157-159, July, 2009	
	Aframomum melegueta	Zingiberaceae				MV		Ethanol extract			Antiviral properties of two Nigerian plants	Ojo OO. et. al.	African Journal of Plant Science Vol. 3 (7), pp. 157-159, July, 2009	
	Boswellia ameero	Burseraceae	RNA	Class V	Orthomyxoviridae	Influenza virus		Methanol extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Boswellia elongata	Burseraceae	RNA	Class V	Orthomyxoviridae	Influenza virus		Methanol extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Buxus hildebrandtii	Buxaceae	RNA	Class V	Orthomyxoviridae	Influenza virus		Methanol extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Cissus hamaderohensis	Vitaceae	DNA	Class I	Herpesviridae	HSV		Methanol extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Cleome socotrana	Cleomaceae	RNA	Class V	Orthomyxoviridae	Influenza virus		Aqueous extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Dracaena cinnabari	Asparagaceae	DNA	Class I	Herpesviridae	HSV		Methanol extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Exacum affine	Gentianaceae	DNA	Class I	Herpesviridae	HSV		Methanol extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Jatropha unicostata	Euphorbiaceae	RNA	Class V	Orthomyxoviridae	Influenza virus		Methanol extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Kalanchoe farinacea	Crassulaceae	RNA	Class V	Orthomyxoviridae	Influenza virus		Methanol extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Bergenia ligulata	Saxifragaceae	RNA	Class V	Orthomyxoviridae	Influenza virus		Aqueous extract and Methanol extract			Screening of Nepalese medicinal plants for antiviral activity	Rajbhandari M. et. al.	J Ethnopharmacol. 2001 Mar 3;74(3):251-5	11274826
	Nerium indicum	Apocynaceae	RNA	Class V	Orthomyxoviridae	Influenza virus		Aqueous extract and Methanol extract			Screening of Nepalese medicinal plants for antiviral activity	Rajbhandari M. et. al.	J Ethnopharmacol. 2001 Mar 3;74(3):251-5	11274826
	Holoptelia integrifolia	Ulmaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract and Methanol extract			Screening of Nepalese medicinal plants for antiviral activity	Rajbhandari M. et. al.	J Ethnopharmacol. 2001 Mar 3;74(3):251-5	11274826
	Novosphingobium indicum	Sphingomonadaceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract and Methanol extract			Screening of Nepalese medicinal plants for antiviral activity	Rajbhandari M. et. al.	J Ethnopharmacol. 2001 Mar 3;74(3):251-5	11274826
	Drymaria diandra	Caryophyilaceae				SINV		Methanol extract			Antiviral activities of Nepalese medicinal plants	Taylor RS. et. al.	J Ethnopharmacol. 1996 Jul 5;52(3):157-63	8771457
	Macaranga pustulata	Euphorbiaceae				SINV		Methanol extract			Antiviral activities of Nepalese medicinal plants	Taylor RS. et. al.	J Ethnopharmacol. 1996 Jul 5;52(3):157-63	8771457
	Hypericum cordifolium	Hypericaeae				SINV		Methanol extract			Antiviral activities of Nepalese medicinal plants	Taylor RS. et. al.	J Ethnopharmacol. 1996 Jul 5;52(3):157-63	8771457
	Hypericum uralum	Hypericaeae				SINV		Methanol extract			Antiviral activities of Nepalese medicinal plants	Taylor RS. et. al.	J Ethnopharmacol. 1996 Jul 5;52(3):157-63	8771457
	Lygodium japonicum	Lygodiaceae				SINV		Methanol extract			Antiviral activities of Nepalese medicinal plants	Taylor RS. et. al.	J Ethnopharmacol. 1996 Jul 5;52(3):157-63	8771457
	Maesa macrophylla	Myrsinaceae				SINV		Methanol extract			Antiviral activities of Nepalese medicinal plants	Taylor RS. et. al.	J Ethnopharmacol. 1996 Jul 5;52(3):157-63	8771457
	Sibbaldia micropetala	Rosaceae			Picornaviridae	Poliovirus		Methanol extract			Antiviral activities of Nepalese medicinal plants	Taylor RS. et. al.	J Ethnopharmacol. 1996 Jul 5;52(3):157-63	8771457
	Centipeda minima	Asteraceae				SINV		Methanol extract			Antiviral activities of Nepalese medicinal plants	Taylor RS. et. al.	J Ethnopharmacol. 1996 Jul 5;52(3):157-63	8771457
	Elephantopus scaber	Asteraceae				SINV		Methanol extract			Antiviral activities of Nepalese medicinal plants	Taylor RS. et. al.	J Ethnopharmacol. 1996 Jul 5;52(3):157-63	8771457
	Corallodiscus lanaginosus	Gesneriaceae	DNA	Class I	Herpesviridae	HSV		Methanol extract			Antiviral activities of Nepalese medicinal plants	Taylor RS. et. al.	J Ethnopharmacol. 1996 Jul 5;52(3):157-63	8771457
	Didymocarpus primulifolius	Gesneriaceae				SINV		Methanol extract			Antiviral activities of Nepalese medicinal plants	Taylor RS. et. al.	J Ethnopharmacol. 1996 Jul 5;52(3):157-63	8771457
	Elsholtzia blanda	Lamiaceae				SINV		Methanol extract			Antiviral activities of Nepalese medicinal plants	Taylor RS. et. al.	J Ethnopharmacol. 1996 Jul 5;52(3):157-63	8771457
	Pogostemon benghalensis	Lamiaceae				SINV		Methanol extract			Antiviral activities of Nepalese medicinal plants	Taylor RS. et. al.	J Ethnopharmacol. 1996 Jul 5;52(3):157-63	8771457
	Anemone obtusiloba	Ranunculaceae				SINV		Methanol extract			Antiviral activities of Nepalese medicinal plants	Taylor RS. et. al.	J Ethnopharmacol. 1996 Jul 5;52(3):157-63	8771457
	Princepia utilis	Rosaceae			Picornaviridae	Poliovirus		Methanol extract			Antiviral activities of Nepalese medicinal plants	Taylor RS. et. al.	J Ethnopharmacol. 1996 Jul 5;52(3):157-63	8771457
	Valeriana jatamansii	Valerianaceae			Picornaviridae	Poliovirus		Methanol extract			Antiviral activities of Nepalese medicinal plants	Taylor RS. et. al.	J Ethnopharmacol. 1996 Jul 5;52(3):157-63	8771457
	Asparagus racemosus	Liliaceae	RNA	Class V	Orthomyxoviridae	Influenza virus		Methanol extract			Screening of Nepalese medicinal plants for antiviral activity	Rajbhandari M. et. al.	J Ethnopharmacol. 2001 Mar 3;74(3):251-5	11274826
	Bombax cieba	Bombaceae	DNA	Class I	Herpesviridae	HSV		Aqueous and Methanol extract			Screening of Nepalese medicinal plants for antiviral activity	Rajbhandari M. et. al.	J Ethnopharmacol. 2001 Mar 3;74(3):251-5	11274826
	Carea arborea	Lecythidaceae	DNA	Class I	Herpesviridae	HSV		Methanol extract			Screening of Nepalese medicinal plants for antiviral activity	Rajbhandari M. et. al.	J Ethnopharmacol. 2001 Mar 3;74(3):251-5	11274826
	Coccinia cordifolia	Cucurbitaceae	DNA	Class I	Herpesviridae	HSV		Methanol extract			Screening of Nepalese medicinal plants for antiviral activity	Rajbhandari M. et. al.	J Ethnopharmacol. 2001 Mar 3;74(3):251-5	11274826
	Dipsacus mytis	Dipsaceaceae	DNA	Class I	Herpesviridae	HSV		Methanolic-aqueous			Screening of Nepalese medicinal plants for antiviral activity	Rajbhandari M. et. al.	J Ethnopharmacol. 2001 Mar 3;74(3):251-5	11274826
	Nyctanthes arbortristis	Oleaceae	RNA	Class V	Orthomyxoviridae	Influenza virus		Methanol extract			Screening of Nepalese medicinal plants for antiviral activity	Rajbhandari M. et. al.	J Ethnopharmacol. 2001 Mar 3;74(3):251-5	11274826
	Rhododendron anthopogon	Ericaceae	DNA	Class I	Herpesviridae	HSV		Aqueous and Methanol extract			Screening of Nepalese medicinal plants for antiviral activity	Rajbhandari M. et. al.	J Ethnopharmacol. 2001 Mar 3;74(3):251-5	11274826
	Salvia coccinia	Labiateae	RNA	Class V	Orthomyxoviridae	Influenza virus		Aqueous and Methanol extract			Screening of Nepalese medicinal plants for antiviral activity	Rajbhandari M. et. al.	J Ethnopharmacol. 2001 Mar 3;74(3):251-5	11274826
	Scindapsus officinalis	Araceae	DNA	Class I	Herpesviridae	HSV		Methanol extract			Screening of Nepalese medicinal plants for antiviral activity	Rajbhandari M. et. al.	J Ethnopharmacol. 2001 Mar 3;74(3):251-5	11274826
	Chironia krebsii	Gentianaeeae	DNA	Class I	Herpesviridae	HSV		Dichloromethane extract			Antiviral activity of African medicinal plants	Beuscher N. et. al.	J Ethnopharmacol. 1994 Apr;42(2):101-9	8072303
	Jasminum fluminense	Oleaceae	DNA	Class I	Herpesviridae	HSV		Ethanol and Methanol extract			Antiviral activity of African medicinal plants	Beuscher N. et. al.	J Ethnopharmacol. 1994 Apr;42(2):101-9	8072303
	Mitragyna inermis	Rubiaceae	DNA	Class I	Herpesviridae	HSV		Dichloromethane extract and Methanol extract			Antiviral activity of African medicinal plants	Beuscher N. et. al.	J Ethnopharmacol. 1994 Apr;42(2):101-9	8072303
	Polygala virgata	Polygalaceae	DNA	Class I	Herpesviridae	HSV					Antiviral activity of African medicinal plants	Beuscher N. et. al.	J Ethnopharmacol. 1994 Apr;42(2):101-9	8072303
	Securidaca longepedunculata	Polygalaceae	DNA	Class I	Herpesviridae	HSV		Ethanol extract and Methanol extract			Antiviral activity of African medicinal plants	Beuscher N. et. al.	J Ethnopharmacol. 1994 Apr;42(2):101-9	8072303
	Badula insularis	Myrsinaceae				Rhinovirus		Dichloromethane extract			Antiviral activity of African medicinal plants	Beuscher N. et. al.	J Ethnopharmacol. 1994 Apr;42(2):101-9	8072303
	Crassula swaziensis	Crassulaceae				Rhinovirus		Dichloromethane extract and Methanol extract			Antiviral activity of African medicinal plants	Beuscher N. et. al.	J Ethnopharmacol. 1994 Apr;42(2):101-9	8072303
	Heteromorpha trifolmta	Umbelliferae				Rhinovirus		Dichloromethane extract			Antiviral activity of African medicinal plants	Beuscher N. et. al.	J Ethnopharmacol. 1994 Apr;42(2):101-9	8072303
	Holarrhena pubescens	Apocynaceae				Rhinovirus		Dichloromethane extract			Antiviral activity of African medicinal plants	Beuscher N. et. al.	J Ethnopharmacol. 1994 Apr;42(2):101-9	8072303
	Labourdonnaisia glauca	Sapotaceae				Rhinovirus		Ethanol extract			Antiviral activity of African medicinal plants	Beuscher N. et. al.	J Ethnopharmacol. 1994 Apr;42(2):101-9	8072303
	Myonima violacea	Rubiaceae	DNA	Class I	Herpesviridae	HSV		Dichloromethane extract			Antiviral activity of African medicinal plants	Beuscher N. et. al.	J Ethnopharmacol. 1994 Apr;42(2):101-9	8072303
	Pterocarpus angolensis	Leguminosae	DNA	Class I	Herpesviridae	HSV		Ethanol extract			Antiviral activity of African medicinal plants	Beuscher N. et. al.	J Ethnopharmacol. 1994 Apr;42(2):101-9	8072303
	Steganotaenia araliacea	Umbelliferae				Rhinovirus		Ethanol extract			Antiviral activity of African medicinal plants	Beuscher N. et. al.	J Ethnopharmacol. 1994 Apr;42(2):101-9	8072303
	Xanthocercis zambesiaca	Leguminosae				Rhinovirus		Methanol extract			Antiviral activity of African medicinal plants	Beuscher N. et. al.	J Ethnopharmacol. 1994 Apr;42(2):101-9	8072303
	Labourdonnaisia glauca	Sapotaceae			Picornaviridae	Poliovirus		Dichloromethane extract			Antiviral activity of African medicinal plants	Beuscher N. et. al.	J Ethnopharmacol. 1994 Apr;42(2):101-9	8072303
	Polygala stenopetala	Polygalaceae			Picornaviridae	Poliovirus		Dichloromethane extract and Ethanol extract			Antiviral activity of African medicinal plants	Beuscher N. et. al.	J Ethnopharmacol. 1994 Apr;42(2):101-9	8072303
	Sideroxylon puberulum	Sapotaceae			Picornaviridae	Poliovirus		Dichloromethane extract			Antiviral activity of African medicinal plants	Beuscher N. et. al.	J Ethnopharmacol. 1994 Apr;42(2):101-9	8072303
	Zanha africana	Sapindaceae			Picornaviridae	Poliovirus		Dichloromethane extract			Antiviral activity of African medicinal plants	Beuscher N. et. al.	J Ethnopharmacol. 1994 Apr;42(2):101-9	8072303
	Cassia socotrana	Fabaceae	RNA	Class V	Orthomyxoviridae	Influenza virus		Aqueous extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Cissus subaphylla	Vitaceae	DNA	Class I	Herpesviridae	HSV		Methanol extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Commiphora parvifolia	Burseraceae	DNA	Class I	Herpesviridae	HSV		Methanol extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Dendrosicyos socotrana	Cucurbitaceae	RNA	Class V	Orthomyxoviridae	Influenza virus		Aqueous extract and Methanol extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Dorstenia socotrana	Moraceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Euryops arabicus	Asteraceae	DNA	Class I	Herpesviridae	HSV		Methanol extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Fagonia luntii	Zygophyllaceae	RNA	Class V	Orthomyxoviridae	Influenza virus		Aqueous extract and Methanol extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Gnidia socotrana	Thymelaeaceae	RNA	Class V	Orthomyxoviridae	Influenza virus		Aqueous extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Pulicaria stephanocarpa	Asteraceae	DNA	Class I	Herpesviridae	HSV		Aqueous extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Punica protopunica	Lythraceae	RNA	Class V	Orthomyxoviridae	Influenza virus		Aqueous extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Trichocalyx obovatus	Acanthaceae	RNA	Class V	Orthomyxoviridae	Influenza virus		Methanol extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Withania adunensis	Solanaceae	RNA	Class V	Orthomyxoviridae	Influenza virus		Methanol extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
	Withania riebeckii	Solanaceae	DNA	Class I	Herpesviridae	HSV		Methanol extract			Phytochemical screening and antiviral activity of some medicinal plants from the island Soqotra	Mothana RA. et. al.	Phytother Res. 2006 Apr;20(4):298-302	16557613
